Brand,Year,Material,ProductLine,Model,StringConfiguration,Color,BodyType,Hand,Price
Epiphone,,Korina,,1958 Korina Explorer,6 String,Natural,Solid,Right-Handed,499.95
Unbranded,,,,,,Black,Semi-Hollow,,599.99
Gretsch,,,,,,,,,888.88
Southbound,,,,Custom,6 String,green,Solid,Right-Handed,1500.00
LTD GUITAR,,,,LTD DELUXE EC-1000 ELECTRIC GUITAR,,,,,599.39
Glen Burton,,Solid Wood,,Custom,6 String,Red,Solid,Right-Handed,289.99
Squier,2019,Maple,Affinity,Affinty Starcaster,6 String,White,Semi-Hollow,Right-Handed,299.99
Michael Kelly,,,,,,,,,599.95
Schecter,,,,S-II Platinum,6 String,Satin Silver SSV,Solid,,599.00
Fender,,,,,,,,,899.99
Schecter,,,,Dan Donegan Ultra,6 String,Satin Black,Solid,,849.00
Jackson Guitars,,,,,,,,,299.99
Danelectro,,Rosewood,,,12 String,Black,Solid,,399.99
Fender,,,Fender Stratocaster,Stratocaster American Standard,6 String,Multicolor,Solid,Right-Handed,1500.00
ESP,,Mahogany,,Horizon,6 String,Dark Brown Sunburst,,Right-Handed,1160.99
,2019,,,,,,,,1595.00
Legator,,,,,,,,,639.20
Fender,,,,,,Red,,,1600.00
JACKSON,,,,JACKSON STARS,,,,,450.00
Fender,,,,Stratocaster,Any,,Any,ANY,285.00
Kay,,,,Vintage,,,Hollow,,435.00
Unbranded,2019,Mahogany,,,6 String,Same as in the photo,Solid,,318.00
Spalt Instruments,2000,,,Totem,6 String,Mixed Media,Solid,,3595.00
G&L,,Maple,,S-500,6 String,,STRAT,Right-Handed,1300.00
Carparelli,2018,,,Classico STH,6 String,Black,,,539.00
Fender,,Maple,Fender Telecaster,Classic Vibe '70s Telecaster,6 String,Multicolor,Solid,Right-Handed,399.99
Epiphone,,,,Wilshire PRO,6 String,Alpine White,Solid,Right-Handed,399.99
KEITH BRAWLEY,2002,,,Custom,,,,,314.99
Don Grosh,,,,,,,,,3999.00
,,,,,,,,,359.00
ESP,,,ESP LTD,EC-1000,6 String,Green,Solid,Right-Handed,699.99
Fender,,,,,,,,,1319.99
,,Maple,,,,,,,3200.00
American Showster,,,,The Biker,6 String,Red,,Right-Handed,949.99
Schecter,,,,Demon S-II,6 String,Black,Solid,,389.00
Gretsch,,,,,,,,,430.88
Unbranded,2019,Basswood,,Y-P3,6 String,Black,Solid,Right-Handed,289.19
Schecter Guitar Research,,,,,,,,,559.20
Fret King,,,,,,,,,799.00
D'Angelico,,,,,,,,,559.99
,,,,,,,,,400.00
,,,,monarch,,,,,1379.00
Schecter,,,,,,,,,1299.00
Schecter,,,,Synyster Gates,6 String,Gloss Black with Silver Stripes,,Right-Handed,699.99
Fender,,,,,,,,,499.01
Fender,,,,,,,,,2149.99
Paul Reed Smith,,Solid Wood,,SE Custom 24,6 String,Trampas Green,Solid,,829.00
Ibanez,,,,,,,,,399.99
Daisy Rock,,,,Bangles-Black,6 Strings,Black Two Tone,,,295.00
Eric Rifftone,,,,tele,,,Semi-Hollow,,375.00
Jackson,,,,,,,,,579.99
EVH,,,,,,,,,1299.99
,,,,,,,,,1970.00
Suhr,,,,,,,,,3299.00
,,,,,,Green,,,750.00
