Brand,Year,Material,ProductLine,Model,StringConfiguration,Color,BodyType,Hand,Price
Schecter,,Mahogany,,,6 String,Black,Solid,,649.00
Schecter Guitar Research,,,,,,,,,1049.00
G&L,,,,,,,,,499.99
Squier,,Poplar,,,,,Solidbody,,399.99
Dean,,,,Icon,6 String,Transparent Green,,,1028.00
Yamaha,,,,,,,,,399.99
Fender,,,,,,,,,440.08
total Music Source,,,,,,,,,659.99
Dean,,Solid Wood,,Icon,6 String,Charcoal Burst,Solid,,699.00
Ibanez,,,,,,,,,1099.99
Gretsch Guitars,,,,,,,,,999.99
Fender,,Basswood,,,,,Solidbody,,899.99
Fender,,Alder,,,6 String,,Solid,,924.99
Hagstrom,,,,,,,,,329.99
Fender,,Alder,,,,,Solidbody,,1549.99
PRS,,,,,,,,,4800.00
Jackson,,,,,,,,,1149.99
PRS,,,,,,,,,4300.00
ESP Guitars,,,,,,,,,1999.00
ESP,,Mahogany,,EC-1000,6 String,Black,Solid,Right-Handed,899.00
ESP,,,,,,,,,399.00
Danelectro,,,,,,,,,399.00
G&L,,,,,,,,,599.99
Fender,,Basswood,,,,,Solidbody,,899.99
Fender,,Alder,,,,,Semi-Hollow Body,,599.99
,,,,,,,,,503.88
Ibanez,,Mahogany,,,,,Solidbody,,399.99
Jackson,,,,SL2Q Hardtail,,,,,749.99
Jackson,,,,,,,,,799.99
Legator,,,,,7 String,Black,Headless,Right-Handed,700.00
D'Angelico,,,Premier,SD,6 String,White,Solid,Right-Handed,495.00
Legator,,,,,,,,,429.00
Jackson,,Basswood,,,,,Solidbody,,629.99
Guild,,,,,,,,,1499.00
Squier,,Pine,,,,,Solidbody,,399.99
Jackson,,Basswood,,,,,Solidbody,,569.99
EVH,,Ash,,,,,Solidbody,,1499.99
Zemaitis Guitars,,,,,,,,,1199.20
Dean,,,,,,Black,,,829.00
Jackson,,,,,,,,,799.99
BurkeGuitar.com,2019,Maple,,,6 String,Clear,Solid,Right-Handed,1150.00
Dean,,,,,,,,,299.00
Sozo,,,Z Series,Z7,6 String,Honeyburst,Double Cut,Right Handed,699.00
Fender,,,,,,,,,349.99
Squier,,Poplar,,,,,Solidbody,,349.99
Segawe,,Solid Wood,,,6 String,Black,Children's,,959.96
Jackson,,,,,,,,,299.99
VIGGO,2016,Wood,,Viggo Solid Body,6 String,Burned and Stained,Solid,,3200.00
Paul Reed Smith,,,,,,,,,3599.00
Dean,,,,,,,,,399.00
Sterling,,,,,,,,,399.99
Dean,,,,,6 String,Classic Black,,,1068.00
Ibanez,,,,,6 String,Red,,,574.99
Fender,,,,,,,,,399.99
D'Angelico Guitars,,Maple,,,,,Semi-Hollow Body,,799.99
Fender,,Alder,,,,,Solidbody,,824.99
Yamaha,,,,,,,,,649.99
Ibanez,2017,,,AFC95VLM,6,Violin Matte,Hollow,,699.99
Bresett,,,,,,,,,2999.00
Fender,,,,,,,,,899.99
ESP,,,,,,,,,799.00
HAWK,,,,,6 String,,,,579.95
Ibanez,,,,,,,,,899.99
ESP,,,,,,,,,1299.00
Squier,,Mahogany,,,,,Solidbody,,399.99
Traveler,,,,,,,,,299.99
Fender,,,,,,,,,699.99
,,,,,,,,,405.88
Guilford Guitars,,,,Atlas Carve,6 String,,,,4199.00
ESP Guitars,,,,,,,,,949.00
Dean Guitars,,,,,,,,,657.99
D'Angelico,,,,,,,,,699.99
ESP,,,,USA M-II Hardtail Amber Electric Guitar,,,,,1999.00
Unbranded,,Solid Wood,,Custom,6 String,,Solid,,800.00
Charvel,,Alder,,,,,Solidbody,,849.99
Squier,,Poplar,,,,,Solidbody,,349.99
Samikku,,,,Greg Bennett,6,Blue,Solid,,350.00
,,,,,,,,,358.88
Ibanez,,Ash,,,,,Solidbody,,1099.99
Ibanez,,,,,,,,,1299.99
Jackson,,,,,,,,,468.88
Fender,,,,,6 String,White,Solid,,674.99
Ibanez,,,Ibanez RG,RGIX6FDLB,6 String,Northern Lights Burst,Solid,,899.99
PRS,,,,,,,,,3599.00
Hagstrom,,,,,,,,,589.99
Fender,,Alder,,,,,Solidbody,,999.99
Ibanez,,,,,,,,,399.99
G&L,,,,,,,,,1659.99
Fender,,Alder,,,,,Solidbody,,924.99
Dean,,,,,,,,,649.00
,,,,,,,,,300.00
Black Diamond,,,,C24SU Satin Black Pearl Diamond,6 String,Satin Black,Solid,,999.00
Fender,,,,,6 String,White,Solid,,674.99
Yamaha,,,,,,,,,449.99
Ibanez,,,,,,,,,299.99
Epiphone,,,,,,,,,361.88
Washburn,,Mahogany,,,,,Semi-Acoustic,,299.00
Jackson,,Mahogany,,,,,Solidbody,,899.99
Schecter,,,,,,,,,1029.00
Ibanez,,,,,,,,,1299.99
Godin,,,,,,,,,1595.00
Dean,,Solid Wood,,,6 String,flip pearl,Solid,,525.00
PRS,,,,,,,,,3850.00
Dean Guitars,,,,,,,,,549.00
Skervesen,,,,,,,,,3099.00
Dean,,,,,6 String,Tiger Eye,,,828.00
Jackson,,,,,,,,,599.99
Guild,,,,,,,,,799.00
Epiphone,,,,,,,,,398.88
Ibanez,,,,,,,,,399.99
D'Angelico Guitars,,Maple,,,,,Semi-Hollow Body,,799.99
Ibanez,,,,,,,,,1299.99
total Music Source,,,,,,,,,909.99
total Music Source,,,,,,,,,649.00
Fender,,,,,6 String,White,Solid,,674.99
Jackson,,,,,,,,,468.88
Backlund,,,,Rockerbox,6 String,Blue / Creme,Semi-Hollow,Right-Handed,1599.00
Ibanez,2017,,,AG75G,6,Mint Blue,Hollow,,449.99
Fender,,Ash,,,,,Solidbody,,1999.99
Roberto Acha,,,,,10 String,,,,1199.99
Yamaha,,,,,,,,,512.88
Epiphone,,,,,,,,,487.88
PRS,,,,,,,,,4280.00
,,Solid Wood,,,6 String,,Solid,,650.00
Schecter Guitar Research,,,,,,,,,615.12
Unbranded,,,,,,,,,699.99
,,,,,,,,,2128.00
Ibanez,,,,,,,,,349.99
Schecter Guitar Research,,,,,,,,,579.00
Fender,,Alder,,,,,Solidbody,,824.99
Schecter,,,,,,,,,789.00
,,,,,,,,,777.88
Jackson,,,,,,,,,699.99
Epiphone,,,,DOT,6 String,,Semi-Hollow,Right-Handed,399.99
Schecter,,,,,,,,,1020.88
Supro,,,,,,,,,849.00
Danelectro,,,,U2,6 String,Black,Solid,Right-Handed,399.99
Jackson,,,,,,,,,599.99
Epiphone,,,,,,,,,334.88
Dean Guitars,,,,,,,,,479.00
Epiphone,,,,,,,,,487.88
Danelectro,,,,,,,,,419.00
Fanatics Authentic,,,,,,,,,499.99
ESP,,,,,,,,,449.00
