Brand,Year,Material,ProductLine,Model,StringConfiguration,Color,BodyType,Hand,Price
Fender,,Alder,Fender Stratocaster,American Professional Stratocaster,6 String,Sunburst,Solid,Right-Handed,1199.99
Fender,2018,,Fender Stratocaster,,,,,,549.99
Fender,1993,,Fender Stratocaster,Plus,6 String,Blue Pearl Dust,Solid,Right-Handed,1150.00
Fender,2012,,Fender Stratocaster,,,,,,1199.00
Fender,2019,'Solid Wood, Alder',Fender Telecaster,Fender Player Telecaster,6 String,Butterscotch Blonde,Solid,,607.50
Custom by Nate's Relic Guitars,2019,Solid Wood,,Barncaster,6 String,Reclaimed Wood,Solid,,899.50
Fender,,,Fender Stratocaster,Stratocaster HSS,6 String,Blue,,,499.99
Fender,,,,,,,,,1899.99
Fender,,,,,,,,,888.88
Fender,2007,,Fender Telecaster,,6 String,Sunburst,Solid,Right-Handed,495.00
Fender,1985-1993,'Spruce Top,Mahogany Body,Maple Necks',Fender Telecoustic,Telecoustic /HMT,6 String,Blonde / Natural,Semi-Hollow,Right-Handed,1000.00
Fender,,,,,,,,,999.99
Squier,,,,CV'70SJAGUAR,,,,,399.99
Fender,1996,,Fender Stratocaster,stratocaster,6 String,Black,,Right-Handed,799.99
Fender,2006,,Fender Stratocaster,Stratocaster HSS,,Electric Blue,Solid,,510.00
,,,,MODERN PLAYER CORONADO II,,,,,649.00
Fender,,,Fender Stratocaster,Lone Star,,,,,549.00
Fender,2019,Alder,Player Series,Player Telecaster HH,6 String,3 Tone Sunburst,Solid,Right-Handed,607.50
Fender,,,,,,,,,567.61
Fender,,,,PLAYERTELEHHMNTPL,,,,,539.00
Fender,,Alder,Fender Stratocaster,Professional Stratocaster,,,,,899.00
Fender,,,,0370590500,,,,,299.99
Fender,2014,,Fender Stratocaster,,6 String,Red,Solid,,999.00
Fender,2017,Alder,Deluxe,Deluxe Roadhouse Stratocaster,6 String,Classic Copper,Stratocaster,Right-Handed,600.00
Fender,,,,,,,,,1149.99
Fender,,,,SQCONTSTRATHHMNDMR,,,,,349.99
Fender,,,,,,,,,349.99
Fender,1992,Maple,Fender Stratocaster,American Vintage 70s Stratocaster,,Olympic White,,Right-Handed,1249.00
Fender,1997,,American Standard,American Standard Stratocaster,6 String,White,Solid,Right-Handed,779.00
Fender,,,,,,,,,1399.99
,,,,STRATOCASTER,,,,,629.00
Fender,2011,Ash,Fender Stratocaster,Stratocaster American Standard,6 String,Sienna Sunburst,Solid,Right-Handed,950.00
,,,,,,,,,549.88
Fender,,,,Stratocaster,,,,,299.99
Fender,2017,,,,,,,,750.00
Fender,2007,,Fender Telecaster,,6 String,,Solid,,795.00
VR (Vintage Relic),2019,'Solid Wood, Ash',,Stratocaster,6 String,Sunburst,Solid,,899.00
Fender,,Maple,Fender Telecaster,Classic Vibe '70s Telecaster,6 String,Multicolor,Solid,Right-Handed,329.95
Fender,,,,,,,,,518.88
Fender,2018,,Fender Telecaster,Custom,,,,,5599.00
Fender,,,Fender Stratocaster,Classic,,Green,,,750.00
Squier,2019,,,Classic Vibe Telecaster 50's,6-String,Vintage Blonde,Solid,Right-Handed,399.99
Fender,1997,,Fender American Stratocaster,American California Stratocaster,6 String,White,Solid,,915.00
,,,,,,,,,503.88
Fender,2006,,,Stratocaster,6 String,,Solid,,999.00
Fender,1995-96,Solid Wood,Fender Stratocaster,Strat Plus,6 String,Sunburst,Solid,Right-Handed,750.00
Fender,2015,,Fender Stratocaster,Eric Clapton Stratocaster,,,,,999.99
Fender,,,Fender Stratocaster,Stratocaster,6 String,,Solid,Right-Handed,350.00
Fender,,,,STRATOCASTER,,,,,499.99
Fender,,,Fender Mustang,Mustang,6 String,Sonic Blue,Solid,Right-Handed,888.88
Fender,,Mahogany,Fender Telecaster,,6 String,White,Solid,,650.00
Fender,,,,,,,,,1199.99
Fender,2019,Alder,,Player Series Jaguar,6 String,Capri Orange,Jaguar,,674.99
Fender,,,Fender Jaguar,Classic Vibe '70s Jaguar,,Green,,,349.99
Squier,,,,,,,,,314.99
Fender,2019,'Solid Wood, Alder',Fender Telecaster,Fender Player Telecaster,6 String,Polar White,Solid,,607.50
Fender,,,,,,,,,650.00
Fender,,,,,,,,,525.88
Fender,,,,,,,,,949.99
Fender,2015,,Fender Stratocaster,,,Silver,,,414.99
Fender,2019,,,Jim Adkins JA-90 Telecaster,6 String,Natural,,Right-Handed,642.00
Fender,,,,,,,,,522.88
Fender,,,,,,,,,349.99
Squier,,,,SQCV60sJAZZMASTERLRLOWT,,,,,399.99
Fender,,,,,,,,,579.99
Fender,2013,,Fender Stratocaster,Stratocaster Deluxe,6 String,3 tone sunburst,Solid,Right-Handed,1100.00
Squier,,,,,6 String,,,,375.00
Fender,,,,,,,,,659.99
Fender,2004,,Fender Telecaster,,,,,Left-Handed,675.00
Fender,2015,,Fender Stratocaster,,6 String,Black,,Right-Handed,850.00
Fender,2012/2013,,Fender Stratocaster,Fender Player Stratocaster HSS,6 String,Black,Solid,Right-Handed,500.00
Fender,,,,DUO-SONIC™HS,,,,,499.99
Fender,2019,Alder,Fender Telecaster,American Ultra Telecaster,6 String,Ultraburst,Solid,Right-Handed,1899.99
Fender,2015,,Fender Telecaster,Modern Player Telecaster Plus,,Honey Burst,,Right-Handed,579.99
Fender,2019,,Fender Stratocaster,,,,,,1599.00
Fender,2004,Maple,Fender Stratocaster,,,,,,399.99
Fender,,,,,,Multi-Color,Solid,,350.00
Fender,,,,,,,,,1199.99
,,,,ej stratocaser,,,,,1299.00
Squier,,,,,,,,,359.99
,,,,,,,,,579.88
Fender,2011,,,,6 String,Copper Sunburst,Solid,,419.00
Fender,,,,,,,,,924.99
Fender,,,,,,,,,499.99
Fender,,,,,,,,,824.99
Fender,,,,,,,,,499.99
Fender,,,Player,0146903519,6 String,Sage Green Metallic,Solid,Right-Handed,599.99
Fender,2014,,Fender Stratocaster,,6 String,,,Right-Handed,1100.00
Fender,,,,,,,,,724.99
Fender,2017,Ash,Fender Stratocaster,Vintage,,,,,1850.00
Fender,,Solid Wood,,Japanese Stratocaster,6 String,Custom,Solid,,595.00
Fender,1997,'Ash, Alder',Fender Stratocaster,Vintage,6 String,,Solid,,750.00
Fender,2006,,,Stratocaster,6 String,,Solid,,999.00
Fender,2004,,Fender Stratocaster,Stratocaster Special Edition,6 String,Black,Solid,Right-Handed,450.00
Fender,,,,,,,,,600.00
Fender,2019,,,Jim Adkins JA-90 Telecaster,6 String,Natural,,Right-Handed,642.00
Fender,,,,,,,,,607.49
Fender,,,,,,,,,450.00
Fender,,,Player,0144523500-COMBO-DLX,6 String,3-Color Sunburst,Solid,Right-Handed,779.99
Fender,,,Player,0144502534-COMBO-DLX,6 String,Buttercream,Solid,Right-Handed,769.99
Fender,,,,,,,,,439.99
Fender,,,,,,,,,899.99
Fender,,,,,,,,,574.99
Fender,,,Fender Jazzmaster,,,Blue,,,1299.00
Fender,,,,,,,,,850.00
Fender,,,,Strat,,,,,299.99
Fender,,,Vintera,0149912373-COMBO-PRO,6 String,Sea Foam Green,Solid,Right-Handed,989.99
Fender,,Alder,,,,,Solidbody,,899.99
Squier,,,Fender Stratocaster,,,,,,399.00
Fender,,,,,,,,,1079.00
Fender,,,,,,,,,899.99
Fender,1996,Solid Wood,,Richie Sambora Signature,6 String,Wine Red,Solid,Right-Handed,645.99
Fender,2006,,American Standard,,,White Blonde,,,999.99
Fender,2013,,Fender Stratocaster,Stratocaster Deluxe,6 String,3 tone sunburst,Solid,Right-Handed,1100.00
Fender,,,,0145212513,6 Strings,Tidepool,,,674.99
Fender,,Maple,Fender Stratocaster,,,,,,1100.00
Fender,1986,Solid Wood,,Stratocaster,6 String,Black,Solid,,499.99
Fender,,,,,,,,,674.99
Fender,,,Fender Stratocaster,60s Stratocaster,,,,,780.00
Fender,,,,,,,,,299.99
Fender,2006,Mahogany,Fender Stratocaster,HSS,6 String,Red,Solid,Right-Handed,889.00
Fender,,,,,,,,,824.99
Squier,,,,0374090557-COMBO-DLX,6 String,Surf Green,Solid,Right-Handed,439.99
